#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200127A   |    952791    | 3.696107e-07 | 3.023671e-07 | 4.363498e-07 | 6.168431e-07 | 5.496353e-07 | 7.095364e-07 | 7.978011e-07 | 6.498822e-07 | 9.503525e-07 | 5.899221e-07 | 3.685315e-07 | 6.629560e-07 | 2.126007e-06 | 7.139777e-07 | 2.157271e-06 | 2.378125e-06 | 2.000805e-06 | 2.617488e-06 | 3.789612e-06 | 2.481902e-06 | 4.670836e-06 | 237.2 | -144.312000 | 92.936000 |  
GRB200125A   |    952164    | 1.719167e-06 | 1.582260e-06 | 1.857924e-06 | 2.501658e-06 | 2.394683e-06 | 2.611367e-06 | 2.604761e-06 | 2.439989e-06 | 2.769096e-06 | 1.492134e-06 | 1.201678e-06 | 1.652943e-06 | 4.182808e-06 | 2.542482e-06 | 5.229837e-06 | 8.317789e-06 | 7.861004e-06 | 8.683161e-06 | 1.100824e-05 | 9.268470e-06 | 1.221147e-05 | 464 | -36.224000 | 427.736000 |  
GRB200122A   |    950330    | 1.661286e-06 | 1.552617e-06 | 1.747167e-06 | 2.923308e-06 | 2.839648e-06 | 3.007353e-06 | 3.844628e-06 | 3.721641e-06 | 3.968848e-06 | 2.706167e-06 | 2.509310e-06 | 2.827251e-06 | 9.213072e-06 | 7.270167e-06 | 1.093338e-05 | 1.113536e-05 | 1.082940e-05 | 1.143996e-05 | 1.764227e-05 | 1.567561e-05 | 1.888054e-05 | 237.9 | -8.820000 | 229.076000 |  
GRB200115A   |    949361    | 1.781868e-06 | 1.649018e-06 | 1.917147e-06 | 3.232254e-06 | 3.119360e-06 | 3.346150e-06 | 3.725422e-06 | 3.568661e-06 | 3.883160e-06 | 1.905222e-06 | 1.665618e-06 | 2.151520e-06 | 3.942079e-06 | 3.000858e-06 | 5.242826e-06 | 1.064475e-05 | 1.024980e-05 | 1.103965e-05 | 1.268164e-05 | 1.165589e-05 | 1.403187e-05 | 352.7 | -122.904000 | 231.188000 |  
GRB200109A   |    948361    | 2.317035e-07 | N/A | N/A | 4.702432e-07 | 4.226224e-07 | 5.241704e-07 | 7.614520e-07 | 6.752156e-07 | 8.575955e-07 | 6.759312e-07 | 5.321604e-07 | 7.044375e-07 | 2.964506e-06 | 1.735132e-06 | 3.064026e-06 | 2.133058e-06 | 1.896804e-06 | 2.348240e-06 | 4.080679e-06 | 3.149580e-06 | 5.359108e-06 | 144 | -31.448000 | 112.552000 |  
GRB200107B   |    948219    | 3.613081e-07 | N/A | N/A | 7.034249e-07 | 6.518951e-07 | 7.626367e-07 | 1.068532e-06 | 9.716452e-07 | 1.178658e-06 | 8.888689e-07 | 7.376795e-07 | 9.327553e-07 | 3.526531e-06 | N/A | N/A | 3.025713e-06 | 2.772731e-06 | 3.245172e-06 | 5.831734e-06 | 4.338581e-06 | 5.987944e-06 | 106.9 | -29.856000 | 77.036000 |  
GRB191228A   |    946476    | 5.084045e-07 | 4.468680e-07 | 5.673346e-07 | 7.145939e-07 | 6.546201e-07 | 7.780891e-07 | 6.755217e-07 | 5.813790e-07 | 7.672719e-07 | 3.321309e-07 | 1.978606e-07 | 4.643327e-07 | 7.637465e-07 | 3.033887e-07 | 1.657484e-06 | 2.230639e-06 | 1.998662e-06 | 2.455835e-06 | 3.122119e-06 | 2.784769e-06 | 4.026052e-06 | 230.6 | -39.348000 | 191.284000 |  
GRB191227A   |    946344    | 2.651750e-06 | 2.423275e-06 | 2.830562e-06 | 5.508111e-06 | 5.307044e-06 | 5.698790e-06 | 8.968971e-06 | 8.679459e-06 | 9.316712e-06 | 7.730413e-06 | 7.056391e-06 | 8.240104e-06 | 3.363509e-05 | 2.619647e-05 | 3.213458e-05 | 2.486181e-05 | 2.403436e-05 | 2.553246e-05 | 5.044669e-05 | 4.248569e-05 | 5.165623e-05 | 136.5 | -30.560000 | 105.920000 |  
GRB191221B   |    945521    | 1.780524e-06 | 1.651003e-06 | 1.912749e-06 | 4.161578e-06 | 4.023908e-06 | 4.299896e-06 | 7.179067e-06 | 6.938858e-06 | 7.420925e-06 | 5.868107e-06 | 5.492348e-06 | 6.240050e-06 | 2.035626e-05 | 1.638581e-05 | 2.547992e-05 | 1.898926e-05 | 1.845134e-05 | 1.952577e-05 | 3.347789e-05 | 2.953100e-05 | 3.854855e-05 | 112 | -15.280000 | 96.720000 |  
GRB191220A   |    945344    | 2.297210e-07 | 1.439132e-07 | 3.124285e-07 | 4.268258e-07 | 3.063098e-07 | 5.480632e-07 | 1.861447e-07 | 5.090972e-08 | 3.842825e-07 | 9.414573e-09 | 4.128580e-11 | 1.780331e-07 | 9.749911e-09 | N/A | N/A | 8.520805e-07 | 6.289566e-07 | 1.183997e-06 | 8.528460e-07 | 6.289566e-07 | 1.381181e-06 | 250.9 | -2.464000 | 248.416000 |  
