#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200127A   |    952791    | 3.682347e-07 | 3.040287e-07 | 4.349954e-07 | 6.223644e-07 | 5.540190e-07 | 6.904062e-07 | 8.003956e-07 | 6.757169e-07 | 9.246229e-07 | 5.704724e-07 | 4.387678e-07 | 7.163986e-07 | 2.071451e-06 | 1.463473e-06 | 2.831748e-06 | 2.361482e-06 | 2.070068e-06 | 2.656469e-06 | 3.862465e-06 | 3.135412e-06 | 4.710799e-06 | 237.2 | -144.312000 | 92.936000 |  
GRB200125A   |    952164    | 1.748469e-06 | 1.635415e-06 | 1.864223e-06 | 2.480150e-06 | 2.387415e-06 | 2.572871e-06 | 2.610285e-06 | 2.449785e-06 | 2.771967e-06 | 1.589893e-06 | 1.434789e-06 | 1.753469e-06 | 5.069998e-06 | 4.428310e-06 | 5.777872e-06 | 8.428843e-06 | 8.076403e-06 | 8.784114e-06 | 1.190908e-05 | 1.113469e-05 | 1.273497e-05 | 464 | -36.224000 | 427.736000 |  
GRB200122A   |    950330    | 1.692990e-06 | 1.611849e-06 | 1.775883e-06 | 2.912691e-06 | 2.832920e-06 | 2.992294e-06 | 3.822473e-06 | 3.710517e-06 | 3.934090e-06 | 2.767672e-06 | 2.634659e-06 | 2.903251e-06 | 1.018813e-05 | 9.508335e-06 | 1.090145e-05 | 1.119578e-05 | 1.092533e-05 | 1.146659e-05 | 1.861635e-05 | 1.788152e-05 | 1.937646e-05 | 237.9 | -8.820000 | 229.076000 |  
GRB200115A   |    949361    | 1.994920e-06 | 1.888798e-06 | 2.103030e-06 | 3.102669e-06 | 3.004869e-06 | 3.200188e-06 | 3.628902e-06 | 3.485022e-06 | 3.772641e-06 | 2.401626e-06 | 2.250378e-06 | 2.556851e-06 | 8.190784e-06 | 7.501453e-06 | 8.921656e-06 | 1.112796e-05 | 1.078538e-05 | 1.147137e-05 | 1.691708e-05 | 1.612299e-05 | 1.774130e-05 | 352.7 | -122.904000 | 231.188000 |  
GRB200109A   |    948361    | 2.287560e-07 | 1.969620e-07 | 2.619284e-07 | 4.736991e-07 | 4.344827e-07 | 5.125219e-07 | 7.668713e-07 | 6.959091e-07 | 8.372064e-07 | 6.529388e-07 | 5.593228e-07 | 7.522851e-07 | 2.785175e-06 | 2.242087e-06 | 3.418318e-06 | 2.122230e-06 | 1.948241e-06 | 2.297589e-06 | 4.254441e-06 | 3.661613e-06 | 4.922803e-06 | 144 | -31.448000 | 112.552000 |  
GRB200107B   |    948219    | 3.615161e-07 | 3.230633e-07 | 4.012525e-07 | 7.072414e-07 | 6.624418e-07 | 7.517227e-07 | 1.073737e-06 | 9.970747e-07 | 1.150079e-06 | 8.702373e-07 | 7.732461e-07 | 9.718466e-07 | 3.544685e-06 | 3.006199e-06 | 4.149423e-06 | 3.012712e-06 | 2.825775e-06 | 3.200647e-06 | 5.687190e-06 | 5.095862e-06 | 6.332682e-06 | 106.9 | -29.856000 | 77.036000 |  
GRB191228A   |    946476    | 5.215420e-07 | 4.676697e-07 | 5.767788e-07 | 6.962886e-07 | 6.477826e-07 | 7.447993e-07 | 6.834855e-07 | 5.971993e-07 | 7.713284e-07 | 3.939483e-07 | 3.197564e-07 | 4.760354e-07 | 1.203564e-06 | 9.224212e-07 | 1.539818e-06 | 2.295246e-06 | 2.103387e-06 | 2.490745e-06 | 3.104840e-06 | 2.728219e-06 | 3.524352e-06 | 230.6 | -39.348000 | 191.284000 |  
GRB191227A   |    946344    | 2.641270e-06 | 2.480291e-06 | 2.806291e-06 | 5.508744e-06 | 5.309610e-06 | 5.707062e-06 | 8.990061e-06 | 8.708686e-06 | 9.270703e-06 | 7.701985e-06 | 7.318004e-06 | 8.091754e-06 | 3.304781e-05 | 3.067133e-05 | 3.554943e-05 | 2.484177e-05 | 2.412363e-05 | 2.556128e-05 | 5.018716e-05 | 4.770156e-05 | 5.277433e-05 | 136.5 | -30.560000 | 105.920000 |  
GRB191221B   |    945521    | 1.897222e-06 | 1.796628e-06 | 1.999899e-06 | 4.109396e-06 | 3.979587e-06 | 4.238752e-06 | 6.998227e-06 | 6.798891e-06 | 7.197273e-06 | 6.193955e-06 | 5.915998e-06 | 6.475868e-06 | 2.742130e-05 | 2.565004e-05 | 2.927508e-05 | 1.919897e-05 | 1.868908e-05 | 1.970916e-05 | 4.042574e-05 | 3.856275e-05 | 4.235825e-05 | 112 | -15.280000 | 96.720000 |  
GRB191220A   |    945344    | 2.563779e-07 | 1.855413e-07 | 3.295343e-07 | 3.293522e-07 | 2.549064e-07 | 4.029404e-07 | 3.092578e-07 | 1.934241e-07 | 4.336613e-07 | 1.720722e-07 | 8.642923e-08 | 2.867084e-07 | 5.118593e-07 | 2.193515e-07 | 9.906965e-07 | 1.067064e-06 | 7.891339e-07 | 1.358409e-06 | 1.406762e-06 | 9.405907e-07 | 2.013913e-06 | 250.9 | -2.464000 | 248.416000 |  
